-1573,-1916,-8960,-11356,-13199,-12556,-10184,-906,-4685,-7080,-9781,-12287,-18497,-18802,-16638,-15016,-6118,-3449,267,17742,27254,-20180,-21160,-17665,-11980,18,1323,1935,2453,3298,4399,5309
-2660,-1337,-293,742,1171,1655,1999,2299,2602,3002,3432,3929,4222,4280,4246,4650,5414,6985,6533,5607,4641,3893,3512,3363,3361,3158,-579,-1422,-2056,-3759,-3918,-3665
-3076,-2164,-1265,-339,242,-263,-1138,-2736,-8039,-13740,-16058,-16084,-13689,-11506,-8150,6005,16792,20084,4840,-14579,-9178,3949,4565,5175,5680,6478,6829,7656,7606,6974,4693,3915
3871,4479,6460,6986,3063,1893,1163,-4403,-5211,-5474,-3699,-1053,-5584,-4298,-3612,-3875,-5079,-6945,-15647,-18921,-19402,-19089,-16078,-14371,-12863,-2208,2632,17592,19103,11295,3744,-14276
-15764,-15218,-911,2491,2519,2385,2372,2204,2182,2219,2420,1993,1638,1059,-550,921,4747,5273,5723,6460,6708,7172,7833,8531,9005,8993,6169,3172,2888,2634,99,101
-34,-615,-1370,-2191,-3035,-3632,-3814,-3408,-2195,-1611,-1829,-2739,-3825,-4403,-4338,-2345,-1186,-17198,-18321,-17523,-9194,-7123,-4829,-2455,17547,23642,26915,18312,-17586,-22127,-3939,-4054
-3084,-1667,-192,-492,-930,-1093,872,2509,8327,8267,7385,5870,3466,6903,6715,6235,5864,5813,5963,6243,6884,7825,8714,6152,5389,4259,2963,1695,569,-313,-1034,-1721
-4256,-5053,-5684,-6016,-5366,-4600,-3671,-3207,-3868,-3084,-12590,-17316,-18461,-17684,-15579,-13738,-10828,-6950,-2273,9289,15459,-18040,-14898,-10703,2702,2266,3964,5042,5295,4292,4285,5487
5718,6167,6542,7030,-1911,-2642,-3249,-3719,-4074,-4224,-4104,-4000,-3828,-3470,-2706,-5156,-7374,-4685,-5955,-6880,-13245,-14630,-15652,-14320,-452,9409,15272,21070,15755,7598,-1926,-10784
-17298,-20325,-6821,-2869,-437,1196,1348,1350,1371,1298,1685,2230,6455,7666,8480,8998,8971,8218,8510,7705,6469,5693,-3067,-4350,-5454,-5827,-4861,-3937,-3257,-2904,-2650,-2615
-3294,-2493,-1252,-294,864,291,-16059,-17632,-15745,-4111,-2116,852,11077,19215,-10541,-14820,-5226,-1220,1627,3310,3762,3005,2459,496,514,457,723,848,1172,1218,1688,1672
1672,3245,6175,6822,7635,8374,8772,4486,4103,4035,4196,4251,4199,3869,3287,2408,1303,-95,-1741,-3701,-5705,-7372,-8327,-6035,-4246,-2598,580,784,171,-7548,-8610,-7927
-5744,-2932,-821,-672,-11506,-14146,-15973,-17684,-17282,-15783,-14591,-8501,10683,20275,27890,25010,13837,-144,-6762,1811,411,593,626,3642,4464,3943,1922,2183,6102,6380,5903,5350
4853,6998,6305,5482,3772,2707,1285,-141,-1239,-1881,-2178,-2388,-2783,-3430,-4175,-4497,-4206,-10624,-9756,-2665,-5845,-14727,-14802,-14757,-14536,-14032,-347,22018,20246,-3265,-17495,-8419
-1535,675,1338,2159,3153,3300,1698,-1640,2260,3691,4595,4323,4407,5766,6206,6554,6616,6607,6716,4997,4561,4400,4223,3759,3105,2332,1532,720,-149,-1080,-1930,-2467
-2517,-1932,-966,-8089,-11892,-15121,-16542,-16014,-13416,-1359,-3228,-15805,-16843,-14691,-12263,-10781,-9216,-7407,-4800,3852,22121,18707,-18690,-16863,-7677,-7190,-6712,-5392,-3238,-575,6089,5699
898,4261,6582,6658,6631,3377,4382,10635,8823,8337,8262,7646,6412,4904,3442,2147,1153,483,-4977,-5696,-5807,-8961,-9561,-8656,-6523,-15608,-16849,-17094,-15503,-14115,-12956,-5685
-2015,2233,11334,14845,-10872,-14980,-16259,-15384,-5968,-2985,-800,454,1546,2549,3290,3309,2634,2525,2603,3071,3244,3595,6974,6598,6542,7080,9519,6262,6405,6523,5656,5032
4334,3605,2819,1862,-6132,-6104,-6170,-6313,-6183,-6022,-5755,-5940,-6273,-6364,-5796,-4768,-4242,-4624,-8742,-12176,-17985,-18772,-15529,-13162,-393,2807,18287,-13084,-6325,-3834,-1521,3669
3851,3901,6924,7852,8330,8208,5257,4999,4843,4854,4955,-4033,-5094,-6103,-6908,-6568,-5312,-3704,-2198,-843,205,199,-447,-2812,-292,-7992,-14390,-13387,-11785,-10725,-10026,-9232
-7939,-5402,-836,5787,12444,15066,-16239,-17600,-4011,-2984,-2044,1119,1910,2304,2534,2125,1438,628,-1223,-2088,-2838,10249,10979,10521,6175,5041,4639,5068,5986,6854,6786,-4858
-5511,-8920,-9546,-4386,-4842,-13553,-18919,-17884,-11461,-9856,-5808,-1490,4860,25790,-15353,-21942,-7179,-2850,-630,2368,2021,1587,1469,1680,2232,2936,3297,2831,2382,1941,1866,3909
4659,6489,6601,6675,6764,7052,7622,7078,6370,4629,3811,3195,2167,1559,587,-638,-5346,-5625,-5613,-5273,-4679,-2264,-1828,-1909,-2882,-4631,-6262,-4961,-2865,-431,1826,-20414
-17173,-14868,-12112,-9008,-5581,-1622,24945,21068,11023,-18664,-19366,-16255,-11452,-1621,-827,-450,-149,452,1142,5568,6274,6219,5324,4439,3910,3804,3833,3569,-131,722,1981,3347
4509,9192,4422,3208,2293,1757,1638,2086,1439,632,-316,-1256,-2049,-2952,-7801,-8562,-8988,-9265,-11803,-13052,-11811,-10216,-8665,-7629,-8569,-11254,-15903,-12733,-10228,-7214,-4099,-1101
2006,5808,10536,15463,8293,-300,-14777,-11750,-561,557,1403,1724,1478,932,557,844,9484,10249,11319,16160,14462,12897,10317,9832,10405,10292,9945,8714,7764,4669,4236,3701
-5714,-6708,-7575,-8862,-10187,-11844,-10749,-7416,-7038,-7272,-8065,-8953,-10111,-17180,-17633,-8735,-4931,-3060,-3060,-4429,-14140,-15037,-14693,-4148,115,5167,25731,13996,4293,-4966,-14819,334
