1474,-784,4679,4546,3712,2625,1740,5703,6231,5745,4556,2916,502,-2503,-7055,-9017,-10117,-10599,-10965,-10955,-10740,-7878,-6660,-5594,-4630,-3832,-292,-268,455,1667,1999,1575
2341,432,-570,7578,7197,11300,13163,12734,161,-7153,-8459,-4880,-2310,482,5319,6568,7073,6670,9916,10062,8053,4507,535,-6458,-7055,-7137,-4427,-3722,-9091,-9248,-9313,-8711
-9420,-8469,-6914,-5734,-5444,-5855,-6045,-5864,-3258,-2508,-2044,-1625,-994,-227,396,703,866,860,706,381,399,24,-789,-1337,447,2183,4401,5481,5193,10537,10423,9952
-1180,-1866,-3794,5131,7885,9524,10882,10372,8487,5988,2934,7,-2598,-4347,-5432,-6055,-5345,-5005,-4822,-2639,-2974,-4066,-5402,-6490,-9168,-9883,-10213,-9979,-7234,-6316,-5394,-4401
-5003,-642,-998,-1715,-2463,-2558,-1936,-1169,-335,473,808,6215,8035,8392,6075,7337,10822,9984,8211,5858,3691,2157,1241,931,1446,1084,105,-1285,661,4425,5790,6828
6999,8527,11162,-9878,-8610,-7153,-5969,-1240,-1693,-3071,-5223,-2122,-2322,-2889,-3566,-4182,-8390,-9253,-9719,-9808,-5294,-3933,-1652,-1432,-1096,-620,1168,-4619,-5266,-4857,-4373,-3381
8073,11330,11792,4256,3519,2946,2515,1825,-1653,-1867,-1480,-649,-471,-572,-1223,-2070,-2200,-733,489,5265,3565,2310,2985,5911,-9572,-9616,-9971,-10535,-11160,-11690,-11594,-10809
-5782,-4313,-3467,-3090,-2558,-1841,-828,223,1388,2653,4035,4309,3230,-2166,-1142,309,1550,2173,7442,5620,3979,534,326,4068,3540,3152,-7452,-8311,-5945,-5601,-4754,-3607
-10350,-10388,-6247,1148,1453,1758,2286,2910,3801,3866,-2560,-3461,-4316,-5921,-6708,-6910,6536,7772,8130,7652,7091,6757,-1524,-488,1210,2639,3325,2624,6473,8135,8219,7343
11242,10172,4343,-6632,-7729,-7590,-7160,-7148,-7107,-7296,-6199,-5261,-4437,-3717,-2945,1529,1209,1059,1559,2253,2808,2887,3036,-1213,-1313,-371,493,1660,-633,7747,11225,13621
